Hoax Beta,2497/0,0,2497/0,[1],None,None,2497/2
Forest,2498/0,0,2498/0,[1],None,None,2498/2
Seles,2499/0,0,2499/0,[1],None,None,2499/2
Hellena Prison 1,2500/0,0,2500/0,[1],None,None,2500/2
Hellena Prison 2,2501/0,0,2501/0,[1],None,None,2501/2
Hellena Prison 3,2502/0,0,2502/0,[1],None,None,2502/2
Prairie,2503/0,0,2503/0,[1],None,None,2503/2
Limestone Cave 1,2504/0,0,2504/0,[1],None,None,2504/2
Limestone Cave 2,2505/0,0,2505/0,[1],None,None,2505/2
Hoax,2506/0,0,2506/0,[1],None,None,2506/2
Marshlands,2507/0,0,2507/0,[1],None,None,2507/2
Volcano Villude,2508/0,0,2508/0,[1],None,None,2508/2
Volcano Villude Boss Fight,2509/0,0,2509/0,[1],None,None,2509/2
Nest Of Dragon Outside,2510/0,0,2510/0,[1],None,None,2510/2
Nest Of Dragon Feyrbrand Lair,2511/0,0,2511/0,[1],None,None,2511/2
Shirley Shrine,2512/0,0,2512/0,[1],None,None,2512/2
Shirley Shrine Boss Fight,2513/0,0,2513/0,[1],None,None,2513/2
Lohan Battle Arena,2514/0,0,2514/0,[1],None,None,2514/2
Melbu Frahma 2nd Stage,2515/0,0,2515/0,[1],None,None,2515/2
Black Castle,2518/0,0,2518/0,[1],None,None,2518/2
Black Castle Throne,2519/0,0,2519/0,[1],None,None,2519/2
Barrens,2520/0,0,2520/0,[1],None,None,2520/2
Moon Infinity Hall,2521/0,0,2521/0,[1],None,None,2521/2
Melbu Frahma 3rd Generation,2522/0,0,2522/0,[1],None,None,2522/2
Valley of the Corrupted Gravity,2523/0,0,2523/0,[1],None,None,2523/2
Valley of the Corrupted Gravity Boss Fight,2524/0,0,2524/0,[1],None,None,2524/2
Home of Giganto,2525/0,0,2525/0,[1],None,None,2525/2
Home of Giganto Throne,2526/0,0,2526/0,[1],None,None,2526/2
Fletz Castle Throne,2527/0,0,2527/0,[1],None,None,2527/2
Phantom Ship,2528/0,0,2528/0,[1],None,None,2528/2
Undersea Cavern,2530/0,0,2530/0,[1],None,None,2530/2
Undersea Cavern Regole Nest,2532/0,0,2532/0,[1],None,None,2532/2
Evergreen Forest,2533/0,0,2533/0,[1],None,None,2533/2
Forbidden Land,2534/0,0,2534/0,[1],None,None,2534/2
Forbidden Land Grand Jewel,2535/0,0,2535/0,[1],None,None,2535/2
Mountain Mortal Dragon,2536/0,0,2536/0,[1],None,None,2536/2
Mountain Mortal Dragon Divine Dragon,2537/0,0,2537/0,[1],None,None,2537/2
Kammuy Fight,2538/0,0,2538/0,[1],None,None,2538/2
Kashua Glacier,2539/0,0,2539/0,[1],None,None,2539/2
Flanvel,2541/0,0,2541/0,[1],None,None,2541/2
Flanvel Fight Lloyd,2542/0,0,2542/0,[1],None,None,2542/2
Snowfield,2543/0,0,2543/0,[1],None,None,2543/2
Fort Magrad,2544/0,0,2544/0,[1],None,None,2544/2
Vellweb,2546/0,0,2546/0,[1],None,None,2546/2
Vellweb 2,2547/0,0,2547/0,[1],None,None,2547/2
Death Frontier,2548/0,0,2548/0,[1],None,None,2548/2
Melbu Frahma Last Stage,2549/0,0,2549/0,[1],None,None,2549/2
Zenebatos,2550/0,0,2550/0,[1],None,None,2550/2
Mayfil,2551/0,0,2551/0,[1],None,None,2551/2
Aglis,2552/0,0,2552/0,[1],None,None,2552/2
Divine Tree 1,2553/0,0,2553/0,[1],None,None,2553/2
Divine Tree 2,2555/0,0,2555/0,[1],None,None,2555/2
