Dart,None,480,None,"[482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492, 493, 494, 495, 496, 497]",None,None,481
Lavitz Normal,None,498,None,"[500, 501, 502, 503, 504]",None,None,499
Lavitz Dragoon,None,505,None,"[507, 508, 509, 510, 511, 512, 513, 514, 515, 516, 517, 518, 519, 520, 521]",None,None,506
Shana,None,522,None,"[524, 525, 526, 527, 528, 529]",None,None,523
Rose,None,530,None,"[532, 533, 534, 535, 536, 537, 538]",None,None,531
Albert Hostage,None,539,None,"[541, 542, 543, 544, 545, 546, 547, 548]",None,None,540
Albert Recieve DSpirit,None,549,None,"[551, 552, 553]",None,None,550
The Hooded Man,None,554,None,"[556, 557, 558, 559]",None,None,555
THM Dragon Buster,None,560,None,"[562, 563, 564, 565]",None,None,561
THM Reveals to be Lloyd,None,566,None,"[568, 569, 570, 571, 572, 573]",None,None,567
THM Steal Moon Gem,None,574,None,"[576, 577]",None,None,575
Face Texture 1,None,None,None,None,None,None,578
Face Texture 2,None,None,None,None,None,None,579
Face Texture 3,None,None,None,None,None,None,580
Face Texture 4,None,None,None,None,None,None,581
