Lenus Dragoon,DRGN0,248,DRGN0,"[250,251,252,253,254,255,256,257,258,259]",None,None,249
Lenus Normal,DRGN0,260,DRGN0,"[262,263]",None,None,261
Dart,DRGN0,264,DRGN0,"[266,267,268,269,270,271,272,273,274,275,276]",None,None,265
Meru,DRGN0,277,DRGN0,"[279,280,281,282,283,284,285,286]",None,None,278
Albert,DRGN0,287,DRGN0,"[289,290,291,292,293,294]",None,None,288
Shana,DRGN0,295,DRGN0,"[297,298,299,300,301,302,303,304,305,306,307,308,309,310]",None,None,296
Face Texture 1,None,None,None,None,None,None,311
Face Texture 2,None,None,None,None,None,None,312
Face Texture 3,None,None,None,None,None,None,313
Face Texture 4,None,None,None,None,None,None,314
