deff_name: Dart Red-Eyed Dragoon Transformation
deff_path: 4204/0/
deff_animation_frames: 300

main_model_0: name(DartNormal)-parent(Main)-file(1)-rel_pos[0x0, 0x0, 0x0]-rel_rot[0x0, 0x0, 0x0]-rel_scale[0x1, 0x1, 0x1]

static_model_particle_0: name(SpiritOrb)-parent(DartNormal)-file(5)-rel_pos[0x0, 0xfffffc7c, 0xfffffed4]-rel_rot[0x0, 0x0, 0x0]-rel_scale[0x200, 0x200, 0x200]-rel_col[0x0, 0x0, 0x0]-rel_scale_color[0x80, 0x80, 0x80]

animated_model_particle_0: name(RotatingGlow)-parent(DartNormal)-file(0)-rel_pos[0x0, 0xfffffc7c, 0xffffff06]-rel_rot[0x0, 0x0, 0x0]-rel_scale[0x0, 0x0, 0x0]-rel_col[0x40, 0x40, 0x40]-rel_scale_color[0x0, 0x0, 0x0]

static_model_particle_1: name(WhiteCircleExplosion)-parent(DartNormal)-file(6)-rel_pos[0x0, 0xfffffc7c, 0xffffff06]-rel_rot[0x0, 0x0, 0x0]-rel_scale[0x0, 0x0, 0x0]-rel_col[0x80, 0x80, 0x80]-rel_scale_color[0x0, 0x0, 0x0]-lifespan{0x3}

generate_particle_0: name(WhiteGlows)-parent(DartNormal)-file(14)-type(0xb00)-count{0x32}-rel_pos[0x0, 0xfffffc7c, 0xffffff06]-rel_rot[0x0, 0x0, 0x0]-rel_scale[0x2aa, 0x2aa, 0x2aa]-rel_col[0x80, 0x80, 0x80]-rel_scale_color[0x0, 0x0, 0x0]-lifespan{0x20}-scale_factor{0x1}-SimType(ExplodeFrontNonUniform)

generate_particle_1: name(FireBlasts)-parent(DartNormal)-file(15)-type(0xd00)-count{0x32}-rel_pos[0x0, 0xfffffc7c, 0xffffff06]-rel_rot[0x0, 0x0, 0x0]-rel_scale[0x2aa, 0x2aa, 0x2aa]-rel_col[0x80, 0x80, 0x80]-rel_scale_color[0x0, 0x0, 0x0]-lifespan{0x20}-scale_factor{0x1}-SimType(ExplodeFrontUniform)

static_model_particle_2: name(WhiteExplosionHalo)-parent(DartNormal)-file(3)-rel_pos[0x0, 0xfffffc7c, 0xffffff06]-rel_rot[0x400, 0x0, 0x0]-rel_scale[0x0, 0x0, 0x0]-rel_col[0x80, 0x80, 0x80]-rel_scale_color[0x0, 0x0, 0x0]-lifespan{0xc}
