FILE,FILETYPE,TEXTURES,ANIM FILES,PARENT,FRAME START,FRAME END,PARTICLE TYPE,COUNT,SIMULATION TYPE,LIFESPAN
5,StaticTMD,"4, 5",NONE,DartNormal,58,246,0xa00,0x1,NONE,NONE
ScriptAnimation,11,,,,,,,,,
Relative Position,DartNormal,"0x0, 0xfffffc7c, 0xfffffed4",,,,,,,,
Relative Rotation,DartNormal,"0x0, 0x0, 0x0",,,,,,,,
Relative Scale,Main,"0x200, 0x200, 0x200",,,,,,,,
Relative Color,Main,"0x0, 0x0, 0x0",,,,,,,,
AddConstantColourScalerAttachment,Main,"0x80, 0x80, 0x80",0x8,,,,,,,
AddScaleScalerMultiplicativeAttachmentTicks,Main,"0x200, 0x200, 0x200",0x20,,,,,,,
SetEffectZ,NONE,0xffffff80,,,,,,,,
scriptAddConstantColourScalerAttachment,Main,"0x0, 0x0, 0x0",0x4,,,,,,,
AddConstantColourScalerAttachment,Main,"0x80, 0x80, 0x80",0x8,FrameStart:250,FrameEnd:290,,,,,
AddScaleScalerMultiplicativeAttachmentTicks,Main,"0x1000, 0x1000, 0x1000",0x8,FrameStart:250,FrameEnd:290,,,,,
AddConstantColourScalerAttachment,Main,"0x0, 0x0, 0x0",0xa,FrameStart:290,FrameEnd:330,,,,,
