FILE,FILETYPE,TEXTURES,ANIM FILES,PARENT,FRAME START,FRAME END,PARTICLE TYPE,COUNT,SIMULATION TYPE,LIFESPAN
0,AnimatedTMD-LMB,NONE,NONE,DartNormal,74,250,0xa00,0x1,NONE,NONE
ScriptAnimation,8,,,,,,,,,
Relative Position,DartNormal,"0x0, 0xfffffc7c, 0xffffff06",,,,,,,,
Relative Rotation,SpirtOrb,"0x0, 0x0, 0x0",,,,,,,,
Relative Scale,Main,"0x0, 0x0, 0x0",,,,,,,,
Relative Color,Main,"0x40, 0x40, 0x40",,,,,,,,
AddScaleScalerMultiplicativeAttachmentTicks,Main,"0x2000, 0x2000, 0x2000",0x14,,,,,,,
SetEffectZ,NONE,NONE,0x20,,,,,,,
SetEffectTranslucencySourceFlag,NONE,NONE,0x1,,,,,,,
AddConstantColourScalerAttachment,Main,"0x0, 0x0, 0x0",0x4,,,,,,,
