Dart,DRGN21.BIN/179,0," [1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 32]",DRGN21.BIN/179/textures/0
Shana,DRGN21.BIN/179,33," [34, 35, 39, 40, 41, 42, 43, 44, 45, 46]",DRGN21.BIN/179/textures/1
Lavitz,DRGN21.BIN/179,66," [67, 68, 69, 71, 72, 73, 74, 75, 76, 77, 78, 79]",DRGN21.BIN/179/textures/2
Birds Flock,DRGN21.BIN/179,99," [100, 101]",DRGN21.BIN/179/textures/3
Armed Martel,DRGN21.BIN/179,132," [133, 134, 135, 138, 143]",DRGN21.BIN/179/textures/4
Child Dart,DRGN21.BIN/179,165," [166, 167, 168]",DRGN21.BIN/179/textures/5
Dog,DRGN21.BIN/179,198," [199, 200, 201, 204]",DRGN21.BIN/179/textures/6
Dran,DRGN21.BIN/179,231," [232, 233, 237, 241, 242, 246, 248]",DRGN21.BIN/179/textures/7
Merchant,DRGN21.BIN/179,264," [265, 266]",DRGN21.BIN/179/textures/8
Male Villager 1,DRGN21.BIN/179,297," [298, 299, 300, 303, 304, 305]",DRGN21.BIN/179/textures/9
Male Villager 2,DRGN21.BIN/179,330," [331, 332, 333, 336, 337, 338]",DRGN21.BIN/179/textures/10
Male Child Villager,DRGN21.BIN/179,363," [364, 365, 366, 369, 370, 371]",DRGN21.BIN/179/textures/11
Old Female Villager,DRGN21.BIN/179,396," [397, 398, 399, 402, 403, 404]",DRGN21.BIN/179/textures/12
Female Artist,DRGN21.BIN/179,429," [430, 431]",DRGN21.BIN/179/textures/13
