Dart,DRGN21.BIN/50,0," [1, 2, 3, 4, 6, 9, 10, 12, 32]",DRGN21.BIN/50/textures/0
Shana,DRGN21.BIN/50,33," [34, 35, 36, 37, 38, 41]",DRGN21.BIN/50/textures/1
Lavitz,DRGN21.BIN/50,66," [67, 68, 69, 70, 72, 73, 74, 77]",DRGN21.BIN/50/textures/2
Hellena Warden,DRGN21.BIN/50,99," [100, 101, 102, 108, 109, 110, 122, 124, 138, 142]",DRGN21.BIN/50/textures/3
Horse,DRGN21.BIN/50,165," [166]",DRGN21.BIN/50/textures/5
Fruegel 1,DRGN21.BIN/50,231," [232, 233, 237, 240, 241, 242]",DRGN21.BIN/50/textures/7
Hooded Man,DRGN21.BIN/50,264," [265, 266, 270, 271]",DRGN21.BIN/50/textures/8
Fruegel 2,DRGN21.BIN/50,297," [298, 299, 303, 309, 313, 314, 315, 316, 317, 318, 319]",DRGN21.BIN/50/textures/9
Dart 2,DRGN21.BIN/50,330," [336, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349]",DRGN21.BIN/50/textures/10
Lavitz 2,DRGN21.BIN/50,363," [364, 365, 366]",DRGN21.BIN/50/textures/11
Cardboard Horse,DRGN21.BIN/50,429," [430]",DRGN21.BIN/50/textures/13
