Dart,DRGN21.BIN/95,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 32]",DRGN21.BIN/95/textures/0
Shana,DRGN21.BIN/95,33," [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]",DRGN21.BIN/95/textures/1
Lavitz,DRGN21.BIN/95,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80]",DRGN21.BIN/95/textures/2
Rose,DRGN21.BIN/95,99," [100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",DRGN21.BIN/95/textures/3
Haschel,DRGN21.BIN/95,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144]",DRGN21.BIN/95/textures/4
Armed Dart,DRGN21.BIN/95,165," [166]",DRGN21.BIN/95/textures/5
Armed Rose,DRGN21.BIN/95,198," [199, 200, 209]",DRGN21.BIN/95/textures/6
Armed Lavitz,DRGN21.BIN/95,231," [232]",DRGN21.BIN/95/textures/7
Armed Shana,DRGN21.BIN/95,264," [265]",DRGN21.BIN/95/textures/8
Treasure Chest,DRGN21.BIN/95,297," [298, 299, 300]",DRGN21.BIN/95/textures/9
