Dart,DRGN21.BIN/293,0," [1, 2, 3, 6, 7, 11, 12, 13, 14, 15, 16, 17, 18, 32]",DRGN21.BIN/293/textures/0
Lavitz,DRGN21.BIN/293,33," [34, 35, 39, 44]",DRGN21.BIN/293/textures/1
Indels Guard,DRGN21.BIN/293,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77]",DRGN21.BIN/293/textures/2
Armed Indels Guard,DRGN21.BIN/293,99," [100, 101, 102]",DRGN21.BIN/293/textures/3
Kaiser,DRGN21.BIN/293,132," [133, 134, 138, 143, 144]",DRGN21.BIN/293/textures/4
Indels Soldier,DRGN21.BIN/293,165," [166, 167, 168]",DRGN21.BIN/293/textures/5
Sandora Soldier,DRGN21.BIN/293,198," [199, 200, 201, 209, 210, 211, 212]",DRGN21.BIN/293/textures/6
Indels Soldier vs Sandora Soldier,DRGN21.BIN/293,231," [232]",DRGN21.BIN/293/textures/7
Armed Lavitz,DRGN21.BIN/293,264," [265, 266, 267, 275, 276, 277, 278, 279, 280, 281, 282]",DRGN21.BIN/293/textures/8
Fire,DRGN21.BIN/293,297," [298]",DRGN21.BIN/293/textures/9
Arrow,DRGN21.BIN/293,330," [331]",DRGN21.BIN/293/textures/10
Armed Dart,DRGN21.BIN/293,363," [364, 365, 366, 367, 374, 375, 376, 377, 378, 379]",DRGN21.BIN/293/textures/11
