Dart,DRGN21.BIN/689,0," [1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 32]",DRGN21.BIN/689/textures/0
Shana,DRGN21.BIN/689,33," [34, 35, 36, 38, 39, 40, 41]",DRGN21.BIN/689/textures/1
Albert,DRGN21.BIN/689,66," [67, 68, 69, 72, 73, 74, 79, 80, 81]",DRGN21.BIN/689/textures/2
Rose,DRGN21.BIN/689,99," [100, 101, 102, 105, 106, 107, 113, 114]",DRGN21.BIN/689/textures/3
Haschel,DRGN21.BIN/689,132," [133, 134, 135, 137, 138, 139, 140, 141, 142, 143]",DRGN21.BIN/689/textures/4
Doel,DRGN21.BIN/689,165," [166, 167, 170, 171, 174, 175, 176, 177, 178, 179, 180]",DRGN21.BIN/689/textures/5
Armed Doel,DRGN21.BIN/689,198," [199, 207, 208, 209]",DRGN21.BIN/689/textures/6
Armed Dart,DRGN21.BIN/689,231," [232, 233, 234]",DRGN21.BIN/689/textures/7
Armed Shana,DRGN21.BIN/689,264," [265, 266, 267, 268, 269]",DRGN21.BIN/689/textures/8
Armed Rose,DRGN21.BIN/689,297," [298, 299]",DRGN21.BIN/689/textures/9
Armed Albert,DRGN21.BIN/689,330," [331, 332, 333, 339]",DRGN21.BIN/689/textures/10
