Dart,DRGN21.BIN/449,0," [1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31, 32]",DRGN21.BIN/449/textures/0
Dabas,DRGN21.BIN/449,33," [34, 35, 36, 37, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53]",DRGN21.BIN/449/textures/1
Lavitz,DRGN21.BIN/449,66," [67, 68, 69, 77, 78]",DRGN21.BIN/449/textures/2
Rose,DRGN21.BIN/449,99," [100, 101, 102, 110, 111, 112]",DRGN21.BIN/449/textures/3
Dabas Armed with a BOOK,DRGN21.BIN/449,132," [133, 134, 143, 144, 145, 146, 147]",DRGN21.BIN/449/textures/4
Red Glow,DRGN21.BIN/449,198," [199]",DRGN21.BIN/449/textures/6
Dabas Shop Atendant,DRGN21.BIN/449,264," [188, 265, 266, 267, 275, 276]",DRGN21.BIN/449/textures/8
Jar,DRGN21.BIN/449,297," [298]",DRGN21.BIN/449/textures/9
Half-Jar,DRGN21.BIN/449,363," [364]",DRGN21.BIN/449/textures/11
Blue Glow,DRGN21.BIN/449,396," [397]",DRGN21.BIN/449/textures/12
