Dart,DRGN21.BIN/425,0," [1, 2, 3, 4, 11, 12, 13, 14, 15, 16, 17, 32]",DRGN21.BIN/425/textures/0
Shana,DRGN21.BIN/425,33," [34, 35, 36, 44, 45, 46, 47, 48]",DRGN21.BIN/425/textures/1
Lavitz,DRGN21.BIN/425,66," [67, 68, 69, 77, 78, 79, 80, 81, 82, 83, 84]",DRGN21.BIN/425/textures/2
Rose,DRGN21.BIN/425,99," [100, 101]",DRGN21.BIN/425/textures/3
Haschel,DRGN21.BIN/425,132," [133, 135, 144, 145, 146, 147, 148]",DRGN21.BIN/425/textures/4
Dart Carrying Shana,DRGN21.BIN/425,165," [166, 167, 168]",DRGN21.BIN/425/textures/5
Indels Soldier Injured,DRGN21.BIN/425,198," [199, 210, 211, 212]",DRGN21.BIN/425/textures/6
Female Villager,DRGN21.BIN/425,231," [232, 233, 234, 242]",DRGN21.BIN/425/textures/7
Old Female Villager,DRGN21.BIN/425,264," [265, 266]",DRGN21.BIN/425/textures/8
Indels Guard,DRGN21.BIN/425,297," [298, 299, 300, 308]",DRGN21.BIN/425/textures/9
Serdio Goose,DRGN21.BIN/425,330," [331, 332, 333, 334]",DRGN21.BIN/425/textures/10
Child Male Villager,DRGN21.BIN/425,363," [364, 365]",DRGN21.BIN/425/textures/11
Horse and Cart,DRGN21.BIN/425,396," [397]",DRGN21.BIN/425/textures/12
