Dart,DRGN21.BIN/440,0," [1, 2, 3, 12, 30, 31, 32]",DRGN21.BIN/440/textures/0
Shana,DRGN21.BIN/440,33," [34]",DRGN21.BIN/440/textures/1
Medic,DRGN21.BIN/440,66," [67]",DRGN21.BIN/440/textures/2
White Glow,DRGN21.BIN/440,99," [100]",DRGN21.BIN/440/textures/3
Male Villager 1,DRGN21.BIN/440,132," [133, 134]",DRGN21.BIN/440/textures/4
Male Villager 2,DRGN21.BIN/440,165," [166, 167]",DRGN21.BIN/440/textures/5
Child Male Villager,DRGN21.BIN/440,198," [199, 200]",DRGN21.BIN/440/textures/6
Old Female Villager 1,DRGN21.BIN/440,231," [232, 233]",DRGN21.BIN/440/textures/7
Old Female Villager 2,DRGN21.BIN/440,264," [265]",DRGN21.BIN/440/textures/8
Merchant,DRGN21.BIN/440,297," [298, 299]",DRGN21.BIN/440/textures/9
