Dart,DRGN21.BIN/452,0," [1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 32]",DRGN21.BIN/452/textures/0
Shana,DRGN21.BIN/452,33," [34, 35, 36, 44, 45, 46, 47, 48, 49, 50]",DRGN21.BIN/452/textures/1
Lavitz,DRGN21.BIN/452,66," [67, 68, 69, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86]",DRGN21.BIN/452/textures/2
Rose,DRGN21.BIN/452,99," [100, 101, 111, 112, 113, 114, 115]",DRGN21.BIN/452/textures/3
Haschel,DRGN21.BIN/452,132," [133, 134, 143, 144, 145, 146, 147]",DRGN21.BIN/452/textures/4
Merchant,DRGN21.BIN/452,165," [166]",DRGN21.BIN/452/textures/5
Child Male Villager,DRGN21.BIN/452,198," [199, 200, 209]",DRGN21.BIN/452/textures/6
Male Villager,DRGN21.BIN/452,231," [232, 365, 366]",DRGN21.BIN/452/textures/7
Pig,DRGN21.BIN/452,264," [265, 267, 268, 269, 270, 271, 272]",DRGN21.BIN/452/textures/8
Old Female Villager,DRGN21.BIN/452,396," [397]",DRGN21.BIN/452/textures/12
