Dart,DRGN21.BIN/428,0," [1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 32]",DRGN21.BIN/428/textures/0
Lavitz,DRGN21.BIN/428,33," [34, 35, 36, 44, 45, 46]",DRGN21.BIN/428/textures/1
Bargain Merchant,DRGN21.BIN/428,66," [67, 69, 77, 78, 79, 80, 81]",DRGN21.BIN/428/textures/2
Rose,DRGN21.BIN/428,99," [100, 101, 102, 103, 110, 111, 112]",DRGN21.BIN/428/textures/3
Turban Merchant,DRGN21.BIN/428,132," [133, 143]",DRGN21.BIN/428/textures/4
Old Female Villager 1,DRGN21.BIN/428,165," [166, 176]",DRGN21.BIN/428/textures/5
Child Male Villager,DRGN21.BIN/428,198," [199, 200, 201, 209]",DRGN21.BIN/428/textures/6
Male Villager,DRGN21.BIN/428,231," [232, 233, 242]",DRGN21.BIN/428/textures/7
Old Female Villager 2,DRGN21.BIN/428,264," [265, 266, 275]",DRGN21.BIN/428/textures/8
Kongol,DRGN21.BIN/428,297," [298, 299, 308, 309, 310, 311, 312]",DRGN21.BIN/428/textures/9
Gold Glow,DRGN21.BIN/428,330," [331]",DRGN21.BIN/428/textures/10
Gold Flare,DRGN21.BIN/428,363," [364]",DRGN21.BIN/428/textures/11
