Dart,DRGN21.BIN/674,0," [1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 32]",DRGN21.BIN/674/textures/0
Shana,DRGN21.BIN/674,33," [34, 35, 36, 37, 41, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60]",DRGN21.BIN/674/textures/1
Lavitz,DRGN21.BIN/674,66," [67, 68, 69, 70, 71, 72, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]",DRGN21.BIN/674/textures/2
Rose,DRGN21.BIN/674,99," [100, 101, 102, 103, 104, 110, 111, 112, 113]",DRGN21.BIN/674/textures/3
Haschel,DRGN21.BIN/674,132," [133, 134, 135, 143, 144, 145, 146, 147, 148, 149, 150]",DRGN21.BIN/674/textures/4
Medic,DRGN21.BIN/674,165," [166, 167, 176, 177, 178, 179, 180]",DRGN21.BIN/674/textures/5
Spirit White Glow,DRGN21.BIN/674,231," [232]",DRGN21.BIN/674/textures/7
Spirit White Flare,DRGN21.BIN/674,264," [265]",DRGN21.BIN/674/textures/8
Spirit Red Glow,DRGN21.BIN/674,297," [298]",DRGN21.BIN/674/textures/9
Spirit Red Flare,DRGN21.BIN/674,330," [331]",DRGN21.BIN/674/textures/10
Spirit Green Glow,DRGN21.BIN/674,363," [364]",DRGN21.BIN/674/textures/11
Spirit Green Flare,DRGN21.BIN/674,396," [397]",DRGN21.BIN/674/textures/12
Spirit Purple Glow,DRGN21.BIN/674,429," [430]",DRGN21.BIN/674/textures/13
Spirit Purple Flare,DRGN21.BIN/674,462," [463]",DRGN21.BIN/674/textures/14
