Dart,DRGN21.BIN/335,0," [1, 2, 3, 4, 5, 6, 10, 32]",DRGN21.BIN/335/textures/0
Raft,DRGN21.BIN/335,33," [34]",DRGN21.BIN/335/textures/1
Shana,DRGN21.BIN/335,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]",DRGN21.BIN/335/textures/2
Lavitz,DRGN21.BIN/335,99," [100, 101, 102, 103, 104, 105, 106]",DRGN21.BIN/335/textures/3
Rose,DRGN21.BIN/335,132," [133, 134, 135, 136, 137]",DRGN21.BIN/335/textures/4
Water Splash,DRGN21.BIN/335,165," [166]",DRGN21.BIN/335/textures/5
Monster Fish,DRGN21.BIN/335,198," [199, 200]",DRGN21.BIN/335/textures/6
Strange Glow,DRGN21.BIN/335,231," [232]",DRGN21.BIN/335/textures/7
Sign,DRGN21.BIN/335,264," [265]",DRGN21.BIN/335/textures/8
Treasure Crate,DRGN21.BIN/335,297," [298, 299, 300]",DRGN21.BIN/335/textures/9
