Dart,DRGN21.BIN/677,0," [1, 2, 4, 11, 16, 18]",DRGN21.BIN/677/textures/0
Lavitz,DRGN21.BIN/677,33," [34, 35, 44, 45]",DRGN21.BIN/677/textures/1
Greham,DRGN21.BIN/677,66," [67, 68, 72, 74, 77]",DRGN21.BIN/677/textures/2
Rose,DRGN21.BIN/677,99," [100, 101, 110]",DRGN21.BIN/677/textures/3
Shana,DRGN21.BIN/677,132," [133, 134, 136]",DRGN21.BIN/677/textures/4
Feyrbrand,DRGN21.BIN/677,165," [166, 167, 170]",DRGN21.BIN/677/textures/5
Spirit Green Glow,DRGN21.BIN/677,198," [199]",DRGN21.BIN/677/textures/6
Spirit Green Flare,DRGN21.BIN/677,231," [232]",DRGN21.BIN/677/textures/7
Armed Dart,DRGN21.BIN/677,264," [265, 266]",DRGN21.BIN/677/textures/8
Armed Lavitz,DRGN21.BIN/677,297," [298, 299, 308, 309, 310, 311, 312, 313, 314, 315]",DRGN21.BIN/677/textures/9
Greham Dragoon,DRGN21.BIN/677,330," [331, 332, 336, 337, 338]",DRGN21.BIN/677/textures/10
Armed Rose,DRGN21.BIN/677,363," [364, 365, 374, 375, 376, 377]",DRGN21.BIN/677/textures/11
