Dart,DRGN21.BIN/38,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 32]",DRGN21.BIN/38/textures/0
Shana,DRGN21.BIN/38,33," [34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",DRGN21.BIN/38/textures/1
Haschel,DRGN21.BIN/38,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 78, 79, 80, 82]",DRGN21.BIN/38/textures/2
Rose,DRGN21.BIN/38,99," [100, 101, 102, 103, 104, 105, 106, 107, 108]",DRGN21.BIN/38/textures/3
Albert,DRGN21.BIN/38,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151]",DRGN21.BIN/38/textures/4
Plane,DRGN21.BIN/38,165," [166]",DRGN21.BIN/38/textures/5
Spirit Red Glow Effect,DRGN21.BIN/38,198," [199]",DRGN21.BIN/38/textures/6
Spirit White Glow Effect,DRGN21.BIN/38,231," [232]",DRGN21.BIN/38/textures/7
Spirit Dark Blue Glow Effect,DRGN21.BIN/38,264," [265]",DRGN21.BIN/38/textures/8
Spirit Green Glow Effect,DRGN21.BIN/38,297," [298]",DRGN21.BIN/38/textures/9
Strange Glow,DRGN21.BIN/38,330," [331]",DRGN21.BIN/38/textures/10
Fire,DRGN21.BIN/38,396," [397]",DRGN21.BIN/38/textures/12
Brillant Glow,DRGN21.BIN/38,462," [463]",DRGN21.BIN/38/textures/14
