Dart,DRGN21.BIN/35,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 32]",DRGN21.BIN/35/textures/0
Strange Glow,DRGN21.BIN/35,33," [34]",DRGN21.BIN/35/textures/1
Old Male Villager,DRGN21.BIN/35,66," [67, 68, 69]",DRGN21.BIN/35/textures/2
Sandora Soldier 1,DRGN21.BIN/35,99," [100, 101, 102, 103, 105, 106, 107, 108, 109, 110, 111]",DRGN21.BIN/35/textures/3
Sandora Soldier 2,DRGN21.BIN/35,132," [133, 134, 135, 136, 137, 140, 141]",DRGN21.BIN/35/textures/4
Old Female Villager Fainted,DRGN21.BIN/35,165," [166]",DRGN21.BIN/35/textures/5
Crow,DRGN21.BIN/35,198," [199, 200, 201, 202]",DRGN21.BIN/35/textures/6
Armed Dart,DRGN21.BIN/35,231," [232, 234, 236, 237, 238, 240, 241, 242, 243, 246, 252]",DRGN21.BIN/35/textures/7
Treasure Chest,DRGN21.BIN/35,264," [265, 266, 267]",DRGN21.BIN/35/textures/8
Leaves,DRGN21.BIN/35,297," [298, 299, 300, 301]",DRGN21.BIN/35/textures/9
Villager Child,DRGN21.BIN/35,396," [397, 398, 402]",DRGN21.BIN/35/textures/12
Old Female Villager,DRGN21.BIN/35,429," [430, 431, 435]",DRGN21.BIN/35/textures/13
Something odd,DRGN21.BIN/35,495," [496]",DRGN21.BIN/35/textures/15
