Dart,DRGN21.BIN/725,0," [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 25, 26, 27]",DRGN21.BIN/725/textures/0
Shana,DRGN21.BIN/725,33," [34, 35, 36, 38, 39]",DRGN21.BIN/725/textures/1
Armed Dart,DRGN21.BIN/725,66," [67, 71, 72, 73, 74, 75, 78]",DRGN21.BIN/725/textures/2
Plos 1,DRGN21.BIN/725,99," [100, 106, 107, 108, 109, 110]",DRGN21.BIN/725/textures/3
Crow 1,DRGN21.BIN/725,132," [133, 134, 135, 138]",DRGN21.BIN/725/textures/4
Sandora Commander,DRGN21.BIN/725,165," [166, 167, 168, 169, 170, 171, 173, 174]",DRGN21.BIN/725/textures/5
Plos 2,DRGN21.BIN/725,198," [199, 200, 201]",DRGN21.BIN/725/textures/6
Sandora Soldier,DRGN21.BIN/725,231," [232, 234, 237, 242]",DRGN21.BIN/725/textures/7
Armed Sandora Soldier,DRGN21.BIN/725,264," [265, 267, 269, 273]",DRGN21.BIN/725/textures/8
Crow 2,DRGN21.BIN/725,297," [298, 299, 300, 303]",DRGN21.BIN/725/textures/9
Haschel,DRGN21.BIN/725,330," [331, 332, 334, 335, 336]",DRGN21.BIN/725/textures/10
Leaves,DRGN21.BIN/725,363," [364, 365, 366, 367]",DRGN21.BIN/725/textures/11
Rose,DRGN21.BIN/725,396," [397, 398]",DRGN21.BIN/725/textures/12
Albert,DRGN21.BIN/725,429," [430, 431, 432, 433, 434]",DRGN21.BIN/725/textures/13
Empty Square,DRGN21.BIN/725,462," [463]",DRGN21.BIN/725/textures/14
