Dart,DRGN22.BIN/737,0," [1, 2, 3, 32]",DRGN22.BIN/737/textures/0
Bishop,DRGN22.BIN/737,33," [34, 35, 39]",DRGN22.BIN/737/textures/1
OldMaleVillager,DRGN22.BIN/737,66," [67, 68, 72]",DRGN22.BIN/737/textures/2
OldFemaleVillager,DRGN22.BIN/737,99," [100, 101, 105]",DRGN22.BIN/737/textures/3
FemaleVillager,DRGN22.BIN/737,132," [133, 134, 138]",DRGN22.BIN/737/textures/4
Bandit,DRGN22.BIN/737,165," [166]",DRGN22.BIN/737/textures/5
Lynn,DRGN22.BIN/737,198," [199, 200, 205, 209]",DRGN22.BIN/737/textures/6
Kate,DRGN22.BIN/737,231," [232, 233, 238, 242]",DRGN22.BIN/737/textures/7
CardboardMaleVillager,DRGN22.BIN/737,264," [265]",DRGN22.BIN/737/textures/8
CardboardFemaleVillager,DRGN22.BIN/737,297," [298]",DRGN22.BIN/737/textures/9
CardboardMaleVillager2,DRGN22.BIN/737,330," [331]",DRGN22.BIN/737/textures/10
CardboardFemaleVillager2,DRGN22.BIN/737,363," [364]",DRGN22.BIN/737/textures/11
Orange Glow,DRGN22.BIN/737,429," [430]",DRGN22.BIN/737/textures/13
