Dart,DRGN22.BIN/722,0," [1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 16, 32]",DRGN22.BIN/722/textures/0
ChildFemaleVillager,DRGN22.BIN/722,33," [34, 35, 39, 44]",DRGN22.BIN/722/textures/1
Shana,DRGN22.BIN/722,66," [67, 68, 72, 73, 74, 77, 78, 79, 80]",DRGN22.BIN/722/textures/2
Rose,DRGN22.BIN/722,99," [100, 101, 105, 106, 107, 110]",DRGN22.BIN/722/textures/3
Albert,DRGN22.BIN/722,132," [133, 134, 138, 139, 140]",DRGN22.BIN/722/textures/4
Haschel,DRGN22.BIN/722,165," [166, 167, 171, 172, 173, 176]",DRGN22.BIN/722/textures/5
FemaleVillager,DRGN22.BIN/722,198," [199, 200, 204]",DRGN22.BIN/722/textures/6
MaleVillager,DRGN22.BIN/722,231," [232, 233, 237]",DRGN22.BIN/722/textures/7
Bandit,DRGN22.BIN/722,264," [265, 266, 270]",DRGN22.BIN/722/textures/8
Butterfly,DRGN22.BIN/722,297," [298]",DRGN22.BIN/722/textures/9
CardboardMaleVillager,DRGN22.BIN/722,330," [331]",DRGN22.BIN/722/textures/10
CardboardFemaleVillager,DRGN22.BIN/722,363," [364]",DRGN22.BIN/722/textures/11
CardboardMaleVillager2,DRGN22.BIN/722,396," [397]",DRGN22.BIN/722/textures/12
CardboardFemaleVillager2,DRGN22.BIN/722,429," [430]",DRGN22.BIN/722/textures/13
