Dart,DRGN22.BIN/782,0," [1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",DRGN22.BIN/782/textures/0
Shana,DRGN22.BIN/782,33," [34, 35, 37, 39, 40, 41, 44, 45, 46, 47]",DRGN22.BIN/782/textures/1
Meru,DRGN22.BIN/782,66," [67, 68, 69, 72, 73, 74, 77, 78, 79, 80, 81, 82, 83, 84]",DRGN22.BIN/782/textures/2
Haschel,DRGN22.BIN/782,99," [100, 101, 102, 103, 105, 106, 107, 110, 111, 112, 113, 114, 115]",DRGN22.BIN/782/textures/3
Lynn,DRGN22.BIN/782,132," [133, 134, 143]",DRGN22.BIN/782/textures/4
Kate,DRGN22.BIN/782,165," [166, 167, 172, 176]",DRGN22.BIN/782/textures/5
Bouquet,DRGN22.BIN/782,198," [199]",DRGN22.BIN/782/textures/6
CardboardMaleVillager,DRGN22.BIN/782,231," [232]",DRGN22.BIN/782/textures/7
CardboardFemaleVillager,DRGN22.BIN/782,264," [265]",DRGN22.BIN/782/textures/8
CardboardMaleVillager2,DRGN22.BIN/782,297," [298]",DRGN22.BIN/782/textures/9
CardboardFemaleVillager2,DRGN22.BIN/782,330," [331]",DRGN22.BIN/782/textures/10
