Dart,DRGN22.BIN/608,0," [1, 2, 3, 4, 6, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 21, 32]",DRGN22.BIN/608/textures/0
Shana,DRGN22.BIN/608,33," [34, 35, 37, 39, 40, 41, 43]",DRGN22.BIN/608/textures/1
Haschel,DRGN22.BIN/608,66," [67, 68, 72, 73, 77, 78]",DRGN22.BIN/608/textures/2
Rose,DRGN22.BIN/608,99," [100, 101, 105, 107, 110]",DRGN22.BIN/608/textures/3
Albert,DRGN22.BIN/608,132," [133, 134, 138, 139, 140, 143, 144]",DRGN22.BIN/608/textures/4
Nello,DRGN22.BIN/608,165," [166, 167, 171, 172, 173, 174, 176]",DRGN22.BIN/608/textures/5
Female Villager,DRGN22.BIN/608,198," [199, 200, 204]",DRGN22.BIN/608/textures/6
Male Villager,DRGN22.BIN/608,231," [232, 233, 237]",DRGN22.BIN/608/textures/7
Old Female Villager,DRGN22.BIN/608,264," [265, 266, 270]",DRGN22.BIN/608/textures/8
Turnip Branch,DRGN22.BIN/608,297," [298]",DRGN22.BIN/608/textures/9
Turnip,DRGN22.BIN/608,330," [331]",DRGN22.BIN/608/textures/10
