Dart,DRGN22.BIN/1172,0," [1, 2, 3, 6, 7, 8, 11, 12, 32]",DRGN22.BIN/1172/textures/0
Albert,DRGN22.BIN/1172,33," [34, 35, 36, 39, 40, 41]",DRGN22.BIN/1172/textures/1
Meru,DRGN22.BIN/1172,66," [67, 68, 69, 72, 73, 74, 77]",DRGN22.BIN/1172/textures/2
Shana,DRGN22.BIN/1172,99," [100, 101, 102, 105, 106, 107]",DRGN22.BIN/1172/textures/3
Rose,DRGN22.BIN/1172,132," [133, 134, 135]",DRGN22.BIN/1172/textures/4
Haschel,DRGN22.BIN/1172,165," [166, 167, 168]",DRGN22.BIN/1172/textures/5
Kongol,DRGN22.BIN/1172,198," [199, 200, 201]",DRGN22.BIN/1172/textures/6
Cardboard Male Villager,DRGN22.BIN/1172,231," [232]",DRGN22.BIN/1172/textures/7
Cardboard Female Villager,DRGN22.BIN/1172,264," [265]",DRGN22.BIN/1172/textures/8
Cardboard Male Villager 2,DRGN22.BIN/1172,297," [298]",DRGN22.BIN/1172/textures/9
Cardboard Female Villager 2,DRGN22.BIN/1172,330," [331]",DRGN22.BIN/1172/textures/10
