Fire,DRGN22.BIN/665,429," [430]",DRGN22.BIN/665/textures/0
Princess Emille,DRGN22.BIN/665,33," [34, 35, 39, 40, 41, 44, 45, 46, 47, 54, 55, 57, 58, 59, 60, 61, 62]",DRGN22.BIN/665/textures/1
Pregnant Female,DRGN22.BIN/665,66," [67, 68, 72, 77, 78, 79, 80]",DRGN22.BIN/665/textures/2
Male Villager,DRGN22.BIN/665,99," [100, 101, 102, 105]",DRGN22.BIN/665/textures/3
Fletz Giant Guard,DRGN22.BIN/665,132," [133, 134, 135, 138]",DRGN22.BIN/665/textures/4
Male Villager 2,DRGN22.BIN/665,165," [166, 167, 168, 171]",DRGN22.BIN/665/textures/5
Child Male Villager,DRGN22.BIN/665,198," [199, 200, 201, 204]",DRGN22.BIN/665/textures/6
Female Villager,DRGN22.BIN/665,231," [232, 233, 234, 237]",DRGN22.BIN/665/textures/7
Cardboard Female Villager,DRGN22.BIN/665,264," [265]",DRGN22.BIN/665/textures/8
Dog,DRGN22.BIN/665,297," [298, 299, 300, 303, 308, 309, 310, 311]",DRGN22.BIN/665/textures/9
Old Male Villager,DRGN22.BIN/665,330," [331, 332, 336]",DRGN22.BIN/665/textures/10
Cardboard Female Villager 2,DRGN22.BIN/665,363," [364]",DRGN22.BIN/665/textures/11
Cardboard Male Villager,DRGN22.BIN/665,396," [397]",DRGN22.BIN/665/textures/12
