Dart,DRGN22.BIN/932,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32]",DRGN22.BIN/932/textures/0
Rose,DRGN22.BIN/932,33," [34, 35, 36, 39, 40, 42, 43, 44, 45]",DRGN22.BIN/932/textures/1
Old Female Villager,DRGN22.BIN/932,66," [67, 68, 72]",DRGN22.BIN/932/textures/2
Pete,DRGN22.BIN/932,99," [100, 101, 102, 105, 106, 107, 108, 109, 110, 111]",DRGN22.BIN/932/textures/3
Pete Mother,DRGN22.BIN/932,132," [133, 134, 138, 139, 140, 141]",DRGN22.BIN/932/textures/4
Dran,DRGN22.BIN/932,165," [166, 167, 171, 174, 175]",DRGN22.BIN/932/textures/5
Male Villager,DRGN22.BIN/932,198," [199, 200, 204, 205, 206]",DRGN22.BIN/932/textures/6
Shop Attendant,DRGN22.BIN/932,231," [232, 233, 237, 238]",DRGN22.BIN/932/textures/7
Female Villager,DRGN22.BIN/932,264," [265, 266, 270]",DRGN22.BIN/932/textures/8
Dog,DRGN22.BIN/932,297," [298, 299, 300, 306]",DRGN22.BIN/932/textures/9
Post,DRGN22.BIN/932,330," [331]",DRGN22.BIN/932/textures/10
