Dart,DRGN22.BIN/941,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 32]",DRGN22.BIN/941/textures/0
Rose,DRGN22.BIN/941,33," [34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47]",DRGN22.BIN/941/textures/1
Meru,DRGN22.BIN/941,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82]",DRGN22.BIN/941/textures/2
Shana,DRGN22.BIN/941,99," [100, 108, 109, 110]",DRGN22.BIN/941/textures/3
Haschel,DRGN22.BIN/941,132," [133, 134, 135, 137, 138, 139, 140, 141, 142, 143, 144, 145, 151, 155]",DRGN22.BIN/941/textures/4
Albert,DRGN22.BIN/941,165," [166, 167, 168, 171, 172, 173, 174, 175, 177]",DRGN22.BIN/941/textures/5
Kongol,DRGN22.BIN/941,198," [199, 200, 203, 205, 207]",DRGN22.BIN/941/textures/6
Orange Glow,DRGN22.BIN/941,231," [232]",DRGN22.BIN/941/textures/7
Cardboard Bartender,DRGN22.BIN/941,330," [331]",DRGN22.BIN/941/textures/10
Cardboard Kongol,DRGN22.BIN/941,363," [364]",DRGN22.BIN/941/textures/11
Fire,DRGN22.BIN/941,396," [397]",DRGN22.BIN/941/textures/12
