Dart,DRGN22.BIN/797,0," [1, 2, 3, 4, 5, 6, 7, 8, 32]",DRGN22.BIN/797/textures/0
Shana,DRGN22.BIN/797,33," [34, 35, 36, 37]",DRGN22.BIN/797/textures/1
Meru,DRGN22.BIN/797,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81]",DRGN22.BIN/797/textures/2
Rose,DRGN22.BIN/797,99," [100, 101, 102, 103]",DRGN22.BIN/797/textures/3
Albert,DRGN22.BIN/797,132," [133, 134, 135, 136]",DRGN22.BIN/797/textures/4
Haschel,DRGN22.BIN/797,165," [166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179]",DRGN22.BIN/797/textures/5
Kongol,DRGN22.BIN/797,198," [199, 200, 201, 202, 203, 204, 205, 228, 229]",DRGN22.BIN/797/textures/6
Miranda,DRGN22.BIN/797,231," [232, 233, 234, 235, 236]",DRGN22.BIN/797/textures/7
Treasure Crate,DRGN22.BIN/797,264," [265, 266, 267]",DRGN22.BIN/797/textures/8
Rock Face,DRGN22.BIN/797,297," [298]",DRGN22.BIN/797/textures/9
Flock of Birds,DRGN22.BIN/797,330," [331, 332]",DRGN22.BIN/797/textures/10
Healing Rockflies,DRGN22.BIN/797,363," [364]",DRGN22.BIN/797/textures/11
