Dart,DRGN22.BIN/806,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 32]",DRGN22.BIN/806/textures/0
Shana,DRGN22.BIN/806,33," [34, 35, 36, 37, 38, 39, 40]",DRGN22.BIN/806/textures/1
Meru,DRGN22.BIN/806,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 84, 85, 86, 87, 88, 89, 90, 91]",DRGN22.BIN/806/textures/2
Rose,DRGN22.BIN/806,99," [100, 101, 102, 103, 104, 105]",DRGN22.BIN/806/textures/3
Albert,DRGN22.BIN/806,132," [133, 134, 135, 136, 137, 138, 139]",DRGN22.BIN/806/textures/4
Haschel,DRGN22.BIN/806,165," [166, 167, 168]",DRGN22.BIN/806/textures/5
Kongol,DRGN22.BIN/806,198," [199, 200, 201, 202, 203, 228, 229]",DRGN22.BIN/806/textures/6
Lynn,DRGN22.BIN/806,231," [232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243]",DRGN22.BIN/806/textures/7
Red-Eyed Dragoon Spirit Glow,DRGN22.BIN/806,264," [265]",DRGN22.BIN/806/textures/8
Spirit Flare,DRGN22.BIN/806,297," [298]",DRGN22.BIN/806/textures/9
Key Glow,DRGN22.BIN/806,330," [331]",DRGN22.BIN/806/textures/10
Orange Glow,DRGN22.BIN/806,363," [364]",DRGN22.BIN/806/textures/11
Stange Glow,DRGN22.BIN/806,396," [397]",DRGN22.BIN/806/textures/12
