Dart,DRGN22.BIN/896,0," [1, 2, 3, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 32]",DRGN22.BIN/896/textures/0
Rose,DRGN22.BIN/896,33," [34, 35, 36, 44, 45]",DRGN22.BIN/896/textures/1
Pete,DRGN22.BIN/896,66," [67, 68, 69, 77, 78, 79, 80, 81, 82, 83, 84, 85]",DRGN22.BIN/896/textures/2
Dog,DRGN22.BIN/896,99," [100, 101, 102, 110, 111]",DRGN22.BIN/896/textures/3
Mayor,DRGN22.BIN/896,132," [133, 143, 144, 145]",DRGN22.BIN/896/textures/4
Male Villager,DRGN22.BIN/896,165," [166, 167, 168, 176, 177, 178]",DRGN22.BIN/896/textures/5
Old Male Villager,DRGN22.BIN/896,198," [199, 209, 210, 211]",DRGN22.BIN/896/textures/6
Raft,DRGN22.BIN/896,231," [232]",DRGN22.BIN/896/textures/7
Pete Mother,DRGN22.BIN/896,297," [298, 299, 309, 310]",DRGN22.BIN/896/textures/9
Treasure Chest,DRGN22.BIN/896,330," [331, 332, 333]",DRGN22.BIN/896/textures/10
Trap Door,DRGN22.BIN/896,363," [364]",DRGN22.BIN/896/textures/11
Trap Cage,DRGN22.BIN/896,396," [397]",DRGN22.BIN/896/textures/12
Albert,DRGN22.BIN/896,429," [430, 431, 432, 440, 441]",DRGN22.BIN/896/textures/13
Trap Rope,DRGN22.BIN/896,462," [463]",DRGN22.BIN/896/textures/14
