Dart,DRGN22.BIN/968,0," [1, 2, 3, 4, 5, 32]",DRGN22.BIN/968/textures/0
Key Glow,DRGN22.BIN/968,33," [34]",DRGN22.BIN/968/textures/1
Meru,DRGN22.BIN/968,66," [67, 68, 69, 70]",DRGN22.BIN/968/textures/2
Rose,DRGN22.BIN/968,99," [100, 101, 102, 103, 130]",DRGN22.BIN/968/textures/3
Albert,DRGN22.BIN/968,132," [133, 134, 135, 136, 137]",DRGN22.BIN/968/textures/4
Haschel,DRGN22.BIN/968,165," [166, 167, 168, 169, 170]",DRGN22.BIN/968/textures/5
Kongol,DRGN22.BIN/968,198," [199, 200, 201, 228, 229]",DRGN22.BIN/968/textures/6
Commodore Puler,DRGN22.BIN/968,231," [232, 233, 234, 235, 236, 237, 238, 239]",DRGN22.BIN/968/textures/7
Kayla,DRGN22.BIN/968,264," [265, 266, 267, 268, 269, 270, 271, 272, 273]",DRGN22.BIN/968/textures/8
Sailor,DRGN22.BIN/968,297," [298, 299, 300, 301, 302, 303, 304, 305]",DRGN22.BIN/968/textures/9
Orange Glow,DRGN22.BIN/968,330," [331]",DRGN22.BIN/968/textures/10
