Dart,DRGN22.BIN/875,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 32]",DRGN22.BIN/875/textures/0
Shana,DRGN22.BIN/875,33," [34, 35, 36, 37]",DRGN22.BIN/875/textures/1
Meru,DRGN22.BIN/875,66," [67, 68, 69, 70]",DRGN22.BIN/875/textures/2
Rose,DRGN22.BIN/875,99," [100, 101, 102, 103]",DRGN22.BIN/875/textures/3
Albert,DRGN22.BIN/875,132," [133, 134, 135, 136]",DRGN22.BIN/875/textures/4
Haschel,DRGN22.BIN/875,165," [166, 167, 168, 169]",DRGN22.BIN/875/textures/5
Kongol,DRGN22.BIN/875,198," [199, 200, 201, 202, 228, 229]",DRGN22.BIN/875/textures/6
Ghost Captain,DRGN22.BIN/875,231," [232, 233, 234, 235, 236, 237]",DRGN22.BIN/875/textures/7
Treasure Chest,DRGN22.BIN/875,264," [265, 266, 267]",DRGN22.BIN/875/textures/8
Key Glow,DRGN22.BIN/875,297," [298]",DRGN22.BIN/875/textures/9
Strange Glow,DRGN22.BIN/875,330," [331]",DRGN22.BIN/875/textures/10
