Dart,DRGN22.BIN/869,0," [1, 2, 3, 4, 5, 6, 7, 8, 32]",DRGN22.BIN/869/textures/0
Shana,DRGN22.BIN/869,33," [34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47]",DRGN22.BIN/869/textures/1
Meru,DRGN22.BIN/869,66," [67, 68, 69, 70]",DRGN22.BIN/869/textures/2
Rose,DRGN22.BIN/869,99," [100, 101, 102, 103, 104]",DRGN22.BIN/869/textures/3
Albert,DRGN22.BIN/869,132," [133, 134, 135, 136]",DRGN22.BIN/869/textures/4
Strange Glow,DRGN22.BIN/869,165," [166]",DRGN22.BIN/869/textures/5
Magician Bogey,DRGN22.BIN/869,231," [232, 233, 234, 235]",DRGN22.BIN/869/textures/7
Skeleton,DRGN22.BIN/869,264," [265, 266, 267, 268, 269, 270, 271, 272, 273, 274]",DRGN22.BIN/869/textures/8
Ghost Knight,DRGN22.BIN/869,297," [298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312]",DRGN22.BIN/869/textures/9
Armed Dart,DRGN22.BIN/869,330," [331, 332]",DRGN22.BIN/869/textures/10
Armed Albert,DRGN22.BIN/869,363," [364, 365]",DRGN22.BIN/869/textures/11
Ghost Sailor,DRGN22.BIN/869,396," [397, 398, 399]",DRGN22.BIN/869/textures/12
Phantom Flame,DRGN22.BIN/869,429," [430]",DRGN22.BIN/869/textures/13
