Dart,DRGN22.BIN/971,0," [1, 2, 3, 32]",DRGN22.BIN/971/textures/0
Shana,DRGN22.BIN/971,33," [34, 35, 36, 37, 38, 39, 40, 41, 42]",DRGN22.BIN/971/textures/1
Meru,DRGN22.BIN/971,66," [67, 68, 69, 70]",DRGN22.BIN/971/textures/2
Rose,DRGN22.BIN/971,99," [100, 101, 102, 103]",DRGN22.BIN/971/textures/3
Albert,DRGN22.BIN/971,132," [133, 134, 135, 136, 137, 138]",DRGN22.BIN/971/textures/4
Haschel,DRGN22.BIN/971,165," [166, 167, 168]",DRGN22.BIN/971/textures/5
Kongol,DRGN22.BIN/971,198," [199, 200, 201, 228, 229]",DRGN22.BIN/971/textures/6
Dart and Rose,DRGN22.BIN/971,231," [232, 233, 234, 235]",DRGN22.BIN/971/textures/7
Commodore Puler,DRGN22.BIN/971,264," [265, 266, 267, 268, 269, 270, 271, 272]",DRGN22.BIN/971/textures/8
Kayla,DRGN22.BIN/971,297," [298, 299, 300, 301, 302, 303, 304, 305, 306]",DRGN22.BIN/971/textures/9
Water Splash,DRGN22.BIN/971,330," [331]",DRGN22.BIN/971/textures/10
Phantom Flame,DRGN22.BIN/971,363," [364]",DRGN22.BIN/971/textures/11
