Dart,DRGN22.BIN/887,0," [1, 2, 3, 4, 5, 6, 7, 8, 32]",DRGN22.BIN/887/textures/0
Shana,DRGN22.BIN/887,33," [34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",DRGN22.BIN/887/textures/1
Meru,DRGN22.BIN/887,66," [67, 68, 69, 70]",DRGN22.BIN/887/textures/2
Rose,DRGN22.BIN/887,99," [100, 101, 102, 103]",DRGN22.BIN/887/textures/3
Albert,DRGN22.BIN/887,132," [133, 134, 135, 136]",DRGN22.BIN/887/textures/4
Haschel,DRGN22.BIN/887,165," [166, 167, 168, 169]",DRGN22.BIN/887/textures/5
Kongol,DRGN22.BIN/887,198," [199, 200, 201, 202, 228, 229]",DRGN22.BIN/887/textures/6
Ghost Knight,DRGN22.BIN/887,231," [232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246]",DRGN22.BIN/887/textures/7
Armed Dart,DRGN22.BIN/887,264," [265, 266, 267]",DRGN22.BIN/887/textures/8
Armed Rose,DRGN22.BIN/887,297," [298, 299, 300]",DRGN22.BIN/887/textures/9
Treasure Chest,DRGN22.BIN/887,330," [331, 332, 333]",DRGN22.BIN/887/textures/10
Strange Glow,DRGN22.BIN/887,363," [364]",DRGN22.BIN/887/textures/11
