Strange Glow,DRGN22.BIN/851,0," [1]",DRGN22.BIN/851/textures/0
Shana,DRGN22.BIN/851,33," [34, 35, 36, 37, 65]",DRGN22.BIN/851/textures/1
Meru,DRGN22.BIN/851,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 98]",DRGN22.BIN/851/textures/2
Rose,DRGN22.BIN/851,99," [100, 101, 102, 103, 131]",DRGN22.BIN/851/textures/3
Albert,DRGN22.BIN/851,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 164]",DRGN22.BIN/851/textures/4
Haschel,DRGN22.BIN/851,165," [166, 167, 168, 169, 197]",DRGN22.BIN/851/textures/5
Kongol,DRGN22.BIN/851,198," [199, 200, 201, 202, 228, 229, 230]",DRGN22.BIN/851/textures/6
Miranda,DRGN22.BIN/851,231," [232, 233, 234, 235, 263]",DRGN22.BIN/851/textures/7
Dart,DRGN22.BIN/851,264," [32, 265, 266, 267, 268]",DRGN22.BIN/851/textures/8
Pillow,DRGN22.BIN/851,297," [298]",DRGN22.BIN/851/textures/9
Orange Glow,DRGN22.BIN/851,330," [331]",DRGN22.BIN/851/textures/10
Sailor,DRGN22.BIN/851,363," [364, 367, 393]",DRGN22.BIN/851/textures/11
