Strange Glow,DRGN22.BIN/842,0," [1]",DRGN22.BIN/842/textures/0
Shana,DRGN22.BIN/842,33," [34, 35, 36, 37, 38, 39, 65]",DRGN22.BIN/842/textures/1
Meru,DRGN22.BIN/842,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 98]",DRGN22.BIN/842/textures/2
Rose,DRGN22.BIN/842,99," [100, 101, 102, 103, 104, 105, 131]",DRGN22.BIN/842/textures/3
Albert,DRGN22.BIN/842,132," [133, 134, 135, 136, 137, 138, 164]",DRGN22.BIN/842/textures/4
Haschel,DRGN22.BIN/842,165," [166, 167, 168, 169, 170, 171, 197]",DRGN22.BIN/842/textures/5
Kongol,DRGN22.BIN/842,198," [199, 200, 201, 202, 203, 204, 228, 229, 230]",DRGN22.BIN/842/textures/6
Miranda,DRGN22.BIN/842,231," [232, 233, 234, 235, 236, 237, 263]",DRGN22.BIN/842/textures/7
Dart,DRGN22.BIN/842,264," [265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 278, 296]",DRGN22.BIN/842/textures/8
Commodore Puler,DRGN22.BIN/842,297," [298, 299, 301, 302]",DRGN22.BIN/842/textures/9
Sailor Navigating,DRGN22.BIN/842,330," [331]",DRGN22.BIN/842/textures/10
