Strange Glow,DRGN22.BIN/854,0," [1]",DRGN22.BIN/854/textures/0
Shana,DRGN22.BIN/854,33," [34, 35, 36, 37, 65]",DRGN22.BIN/854/textures/1
Meru,DRGN22.BIN/854,66," [67, 68, 69, 70, 98]",DRGN22.BIN/854/textures/2
Rose,DRGN22.BIN/854,99," [100, 101, 102, 103, 131]",DRGN22.BIN/854/textures/3
Albert,DRGN22.BIN/854,132," [133, 134, 135, 136, 164]",DRGN22.BIN/854/textures/4
Haschel,DRGN22.BIN/854,165," [166, 167, 168, 169, 197]",DRGN22.BIN/854/textures/5
Kongol,DRGN22.BIN/854,198," [199, 200, 201, 202, 228, 229, 230]",DRGN22.BIN/854/textures/6
Miranda,DRGN22.BIN/854,231," [232, 233, 234, 235, 263]",DRGN22.BIN/854/textures/7
Dart,DRGN22.BIN/854,264," [265, 266, 267, 268, 296]",DRGN22.BIN/854/textures/8
Sailor,DRGN22.BIN/854,297," [298, 299, 300, 301, 302, 303, 304, 305, 306]",DRGN22.BIN/854/textures/9
Kayla,DRGN22.BIN/854,330," [331, 332, 333, 335]",DRGN22.BIN/854/textures/10
Foam,DRGN22.BIN/854,363," [364]",DRGN22.BIN/854/textures/11
