Strange Glow,DRGN22.BIN/857,0," [1]",DRGN22.BIN/857/textures/0
Shana,DRGN22.BIN/857,33," [34, 35, 36, 37, 65]",DRGN22.BIN/857/textures/1
Meru,DRGN22.BIN/857,66," [67, 68, 69, 70, 98]",DRGN22.BIN/857/textures/2
Rose,DRGN22.BIN/857,99," [100, 101, 102, 103, 131]",DRGN22.BIN/857/textures/3
Albert,DRGN22.BIN/857,132," [133, 134, 135, 136, 164]",DRGN22.BIN/857/textures/4
Haschel,DRGN22.BIN/857,165," [166, 167, 168, 169, 197]",DRGN22.BIN/857/textures/5
Kongol,DRGN22.BIN/857,198," [199, 200, 201, 202, 203, 204, 205, 206, 228, 229, 230]",DRGN22.BIN/857/textures/6
Miranda,DRGN22.BIN/857,231," [232, 233, 234, 235, 263]",DRGN22.BIN/857/textures/7
Dart,DRGN22.BIN/857,264," [32, 265, 266, 267, 268, 269]",DRGN22.BIN/857/textures/8
Sailor Working,DRGN22.BIN/857,297," [298]",DRGN22.BIN/857/textures/9
Coal Forklift Truck,DRGN22.BIN/857,330," [331]",DRGN22.BIN/857/textures/10
Sailor,DRGN22.BIN/857,363," [364, 365, 367]",DRGN22.BIN/857/textures/11
