Strange Glow,DRGN22.BIN/848,0," [1]",DRGN22.BIN/848/textures/0
Shana,DRGN22.BIN/848,33," [34, 35, 36, 37, 38, 39, 40, 65]",DRGN22.BIN/848/textures/1
Meru,DRGN22.BIN/848,66," [67, 68, 69, 70, 71, 72, 73, 98]",DRGN22.BIN/848/textures/2
Rose,DRGN22.BIN/848,99," [100, 101, 102, 103, 104, 105, 106, 131]",DRGN22.BIN/848/textures/3
Albert,DRGN22.BIN/848,132," [133, 134, 135, 136, 137, 138, 139, 164]",DRGN22.BIN/848/textures/4
Haschel,DRGN22.BIN/848,165," [166, 167, 168, 169, 170, 171, 172, 197]",DRGN22.BIN/848/textures/5
Kongol,DRGN22.BIN/848,198," [199, 200, 201, 202, 203, 204, 205, 228, 229, 230]",DRGN22.BIN/848/textures/6
Miranda,DRGN22.BIN/848,231," [232, 233, 234, 235, 236, 237, 238, 263]",DRGN22.BIN/848/textures/7
Dart,DRGN22.BIN/848,264," [265, 266, 267, 268, 269, 270, 271, 296]",DRGN22.BIN/848/textures/8
Sailor,DRGN22.BIN/848,297," [298, 299, 300, 301, 302, 303, 304, 305]",DRGN22.BIN/848/textures/9
Cabbage,DRGN22.BIN/848,330," [331]",DRGN22.BIN/848/textures/10
Carrot,DRGN22.BIN/848,363," [364]",DRGN22.BIN/848/textures/11
Radish,DRGN22.BIN/848,396," [397]",DRGN22.BIN/848/textures/12
Spinach,DRGN22.BIN/848,429," [430]",DRGN22.BIN/848/textures/13
Sword,DRGN22.BIN/848,462," [463]",DRGN22.BIN/848/textures/14
