Strange Glow,DRGN22.BIN/833,0," [1]",DRGN22.BIN/833/textures/0
Shana,DRGN22.BIN/833,33," [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 65]",DRGN22.BIN/833/textures/1
Meru,DRGN22.BIN/833,66," [67, 68, 69, 70, 71, 72, 73, 98]",DRGN22.BIN/833/textures/2
Rose,DRGN22.BIN/833,99," [100, 101, 102, 103, 104, 131]",DRGN22.BIN/833/textures/3
Albert,DRGN22.BIN/833,132," [133, 134, 135, 136, 164]",DRGN22.BIN/833/textures/4
Haschel,DRGN22.BIN/833,165," [166, 167, 168, 169, 170, 197]",DRGN22.BIN/833/textures/5
Kongol,DRGN22.BIN/833,198," [199, 200, 201, 202, 228, 229, 230]",DRGN22.BIN/833/textures/6
Miranda,DRGN22.BIN/833,231," [232, 233, 234, 235, 263]",DRGN22.BIN/833/textures/7
Dart,DRGN22.BIN/833,264," [265, 266, 267, 268, 296]",DRGN22.BIN/833/textures/8
Seagull,DRGN22.BIN/833,297," [298, 299, 300, 301]",DRGN22.BIN/833/textures/9
Sailor Sweeping,DRGN22.BIN/833,330," [331, 332]",DRGN22.BIN/833/textures/10
Sailor,DRGN22.BIN/833,363," [364, 365, 366, 367, 368]",DRGN22.BIN/833/textures/11
