Strange Glow,DRGN22.BIN/845,0," [1]",DRGN22.BIN/845/textures/0
Shana,DRGN22.BIN/845,33," [34, 35, 36, 37, 65]",DRGN22.BIN/845/textures/1
Meru,DRGN22.BIN/845,66," [67, 68, 69, 70, 71, 72, 73, 98]",DRGN22.BIN/845/textures/2
Rose,DRGN22.BIN/845,99," [100, 101, 102, 103, 104, 131]",DRGN22.BIN/845/textures/3
Albert,DRGN22.BIN/845,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 164]",DRGN22.BIN/845/textures/4
Haschel,DRGN22.BIN/845,165," [166, 167, 168, 169, 197]",DRGN22.BIN/845/textures/5
Kongol,DRGN22.BIN/845,198," [199, 200, 201, 202, 203, 204, 228, 229, 230]",DRGN22.BIN/845/textures/6
Miranda,DRGN22.BIN/845,231," [232, 233, 234, 235, 263]",DRGN22.BIN/845/textures/7
Dart,DRGN22.BIN/845,264," [265, 266, 267, 268, 269, 296]",DRGN22.BIN/845/textures/8
Sailor Sweeping,DRGN22.BIN/845,297," [298, 299]",DRGN22.BIN/845/textures/9
