Strange Glow,DRGN22.BIN/839,0," [1]",DRGN22.BIN/839/textures/0
Shana,DRGN22.BIN/839,33," [34, 35, 36, 37, 65]",DRGN22.BIN/839/textures/1
Meru,DRGN22.BIN/839,66," [67, 68, 69, 70, 71, 72, 73, 98]",DRGN22.BIN/839/textures/2
Rose,DRGN22.BIN/839,99," [100, 101, 102, 103, 104, 131]",DRGN22.BIN/839/textures/3
Albert,DRGN22.BIN/839,132," [133, 134, 135, 136, 164]",DRGN22.BIN/839/textures/4
Haschel,DRGN22.BIN/839,165," [166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 197]",DRGN22.BIN/839/textures/5
Kongol,DRGN22.BIN/839,198," [199, 200, 201, 202, 228, 229, 230]",DRGN22.BIN/839/textures/6
Miranda,DRGN22.BIN/839,231," [232, 233, 234, 235, 263]",DRGN22.BIN/839/textures/7
Dart,DRGN22.BIN/839,264," [265, 266, 267, 268, 296]",DRGN22.BIN/839/textures/8
Sailor Sweeping and Guarding,DRGN22.BIN/839,297," [298, 299, 300, 301, 302]",DRGN22.BIN/839/textures/9
Sailor,DRGN22.BIN/839,330," [331, 332, 333, 334]",DRGN22.BIN/839/textures/10
