Dart,DRGN22.BIN/1145,0," [1, 2, 3, 6, 7, 8, 11, 12, 13, 15, 16, 17]",DRGN22.BIN/1145/textures/0
Shana,DRGN22.BIN/1145,33," [34, 35, 36, 39, 40, 41, 44, 45, 47, 48]",DRGN22.BIN/1145/textures/1
Albert,DRGN22.BIN/1145,66," [67, 68, 72, 73, 74]",DRGN22.BIN/1145/textures/2
Haschel,DRGN22.BIN/1145,99," [100, 101, 105, 106, 110]",DRGN22.BIN/1145/textures/3
Rose,DRGN22.BIN/1145,132," [133, 134, 135, 138, 143, 144, 145]",DRGN22.BIN/1145/textures/4
Lloyd,DRGN22.BIN/1145,165," [166]",DRGN22.BIN/1145/textures/5
Female Villager,DRGN22.BIN/1145,198," [199, 200, 204]",DRGN22.BIN/1145/textures/6
Female Villager 2,DRGN22.BIN/1145,231," [232, 233, 237]",DRGN22.BIN/1145/textures/7
Cardboard Male Villager,DRGN22.BIN/1145,264," [265]",DRGN22.BIN/1145/textures/8
Old Male Villager,DRGN22.BIN/1145,297," [298, 299, 303]",DRGN22.BIN/1145/textures/9
Child Male Villager,DRGN22.BIN/1145,330," [331, 332, 333, 336]",DRGN22.BIN/1145/textures/10
Old Female Villager,DRGN22.BIN/1145,363," [364, 365, 369]",DRGN22.BIN/1145/textures/11
Cardboard Male Villager 2,DRGN22.BIN/1145,396," [397]",DRGN22.BIN/1145/textures/12
Cardboard Female Villager,DRGN22.BIN/1145,429," [430]",DRGN22.BIN/1145/textures/13
