Dart,DRGN22.BIN/680,0," [1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 32]",DRGN22.BIN/680/textures/0
Armed Kongol,DRGN22.BIN/680,33," [34, 35, 36, 39, 44, 45, 46, 47, 48, 49]",DRGN22.BIN/680/textures/1
Shana,DRGN22.BIN/680,66," [67, 68, 72, 73, 74]",DRGN22.BIN/680/textures/2
Rose,DRGN22.BIN/680,99," [100, 101, 105, 106, 107]",DRGN22.BIN/680/textures/3
Meru,DRGN22.BIN/680,132," [133, 134, 138, 139, 143]",DRGN22.BIN/680/textures/4
Castle Maiden,DRGN22.BIN/680,165," [166, 167, 171, 172, 173, 176]",DRGN22.BIN/680/textures/5
Castle Maiden 2,DRGN22.BIN/680,198," [199, 200, 204]",DRGN22.BIN/680/textures/6
Fletz Guard,DRGN22.BIN/680,231," [232, 233, 234, 237]",DRGN22.BIN/680/textures/7
Treasure Crate,DRGN22.BIN/680,264," [265, 266, 267]",DRGN22.BIN/680/textures/8
Orange Glow,DRGN22.BIN/680,330," [331]",DRGN22.BIN/680/textures/10
