Dart,DRGN22.BIN/686,0," [1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 32]",DRGN22.BIN/686/textures/0
Shana,DRGN22.BIN/686,33," [34, 35, 44, 45, 46, 47, 48, 49, 50, 51]",DRGN22.BIN/686/textures/1
Haschel,DRGN22.BIN/686,66," [67, 68, 72, 73, 74, 77, 79, 80, 81, 82, 83, 84]",DRGN22.BIN/686/textures/2
Meru,DRGN22.BIN/686,99," [100, 101, 102, 105, 106, 107, 110, 111, 112, 115, 116, 117, 118, 119, 120, 121, 123]",DRGN22.BIN/686/textures/3
Albert,DRGN22.BIN/686,132," [133, 134, 138, 139, 140]",DRGN22.BIN/686/textures/4
Rose,DRGN22.BIN/686,165," [166, 167, 171, 173, 176, 177]",DRGN22.BIN/686/textures/5
Castle Maiden,DRGN22.BIN/686,198," [199, 200, 204]",DRGN22.BIN/686/textures/6
Castle Maiden 2,DRGN22.BIN/686,231," [232, 233, 237]",DRGN22.BIN/686/textures/7
Kongol,DRGN22.BIN/686,264," [265, 266, 275]",DRGN22.BIN/686/textures/8
Orange Glow,DRGN22.BIN/686,297," [298]",DRGN22.BIN/686/textures/9
