Dart,DRGN22.BIN/1097,0," [1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 32]",DRGN22.BIN/1097/textures/0
Princess Lisa,DRGN22.BIN/1097,33," [34, 35, 36, 39, 40, 41, 44]",DRGN22.BIN/1097/textures/1
Shana,DRGN22.BIN/1097,66," [67, 68, 72, 77, 78, 79, 80, 81]",DRGN22.BIN/1097/textures/2
Albert,DRGN22.BIN/1097,99," [100, 101, 105, 106, 107, 110, 111]",DRGN22.BIN/1097/textures/3
Rose,DRGN22.BIN/1097,132," [133, 134, 138, 139, 140, 143, 144]",DRGN22.BIN/1097/textures/4
Meru,DRGN22.BIN/1097,165," [166, 167, 168, 171, 172, 173, 176]",DRGN22.BIN/1097/textures/5
Haschel,DRGN22.BIN/1097,198," [199, 200, 204, 205, 206, 209]",DRGN22.BIN/1097/textures/6
Castle Maiden,DRGN22.BIN/1097,231," [232, 233, 237]",DRGN22.BIN/1097/textures/7
Castle Maiden 2,DRGN22.BIN/1097,264," [265, 266, 270]",DRGN22.BIN/1097/textures/8
Blue Glow,DRGN22.BIN/1097,297," [298]",DRGN22.BIN/1097/textures/9
Blue Flare,DRGN22.BIN/1097,330," [331]",DRGN22.BIN/1097/textures/10
Orange Glow,DRGN22.BIN/1097,363," [364]",DRGN22.BIN/1097/textures/11
