Dart,DRGN22.BIN/1094,0," [1, 2, 3, 4, 6, 7, 8, 11, 12, 13, 14, 15, 16, 32]",DRGN22.BIN/1094/textures/0
Princess Lisa,DRGN22.BIN/1094,33," [34, 35, 36, 39, 40, 41, 44, 45, 46, 47]",DRGN22.BIN/1094/textures/1
Meru,DRGN22.BIN/1094,66," [67, 68, 69]",DRGN22.BIN/1094/textures/2
Albert,DRGN22.BIN/1094,99," [100, 101, 102, 105, 106, 107]",DRGN22.BIN/1094/textures/3
Shana,DRGN22.BIN/1094,132," [133, 134, 135, 138, 139, 140]",DRGN22.BIN/1094/textures/4
Haschel,DRGN22.BIN/1094,165," [166, 167, 168, 171, 172, 173]",DRGN22.BIN/1094/textures/5
Rose,DRGN22.BIN/1094,198," [199, 200, 201, 204, 205, 206]",DRGN22.BIN/1094/textures/6
Blue Glow,DRGN22.BIN/1094,231," [232]",DRGN22.BIN/1094/textures/7
Blue Flare,DRGN22.BIN/1094,264," [265]",DRGN22.BIN/1094/textures/8
Castle Maiden,DRGN22.BIN/1094,297," [298, 299, 303]",DRGN22.BIN/1094/textures/9
Bird,DRGN22.BIN/1094,330," [331, 332, 333]",DRGN22.BIN/1094/textures/10
