Dart,DRGN22.BIN/689,0," [1, 2, 3, 7, 8, 11, 12, 13, 14, 32]",DRGN22.BIN/689/textures/0
Albert,DRGN22.BIN/689,33," [34, 35, 39, 40, 41, 44, 45, 46, 47]",DRGN22.BIN/689/textures/1
Shana,DRGN22.BIN/689,66," [67, 68]",DRGN22.BIN/689/textures/2
Meru,DRGN22.BIN/689,99," [100, 101]",DRGN22.BIN/689/textures/3
Miranda,DRGN22.BIN/689,132," [133, 134, 138, 139, 140, 143, 144]",DRGN22.BIN/689/textures/4
King Zior,DRGN22.BIN/689,165," [166, 171, 172, 173, 176, 177, 178, 179, 180]",DRGN22.BIN/689/textures/5
Princess Emille,DRGN22.BIN/689,198," [199]",DRGN22.BIN/689/textures/6
Princess Lisa,DRGN22.BIN/689,231," [232]",DRGN22.BIN/689/textures/7
Fletz Giant Guard,DRGN22.BIN/689,264," [265, 266, 270, 275]",DRGN22.BIN/689/textures/8
Counselor,DRGN22.BIN/689,297," [298, 299, 303]",DRGN22.BIN/689/textures/9
