Dart,DRGN22.BIN/719,0," [1, 2, 3, 4, 7, 8, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 32]",DRGN22.BIN/719/textures/0
Haschel,DRGN22.BIN/719,33," [34, 35, 37, 39, 40, 41, 44]",DRGN22.BIN/719/textures/1
Kongol,DRGN22.BIN/719,66," [67, 68, 72, 73, 74, 77, 78]",DRGN22.BIN/719/textures/2
Castle Maiden,DRGN22.BIN/719,99," [100, 101, 105]",DRGN22.BIN/719/textures/3
Castle Maiden 2,DRGN22.BIN/719,132," [133, 134, 138]",DRGN22.BIN/719/textures/4
Albert,DRGN22.BIN/719,165," [166, 167, 171, 172, 173]",DRGN22.BIN/719/textures/5
Princess Emille,DRGN22.BIN/719,198," [199, 200, 201, 202]",DRGN22.BIN/719/textures/6
Princess Lisa,DRGN22.BIN/719,231," [232, 237]",DRGN22.BIN/719/textures/7
King Zior,DRGN22.BIN/719,264," [265, 266, 270, 271, 272, 275, 276]",DRGN22.BIN/719/textures/8
Meru,DRGN22.BIN/719,297," [298, 299, 300, 303, 304, 305, 308, 309, 318, 319, 320, 321]",DRGN22.BIN/719/textures/9
Castle Maiden 3,DRGN22.BIN/719,330," [331, 336, 337, 338]",DRGN22.BIN/719/textures/10
Cardboard Trumpeter,DRGN22.BIN/719,363," [364]",DRGN22.BIN/719/textures/11
Cardboard Dancers Obscure,DRGN22.BIN/719,396," [397]",DRGN22.BIN/719/textures/12
Cardboard Dancers Light,DRGN22.BIN/719,429," [430]",DRGN22.BIN/719/textures/13
