Dart,DRGN23.BIN/125,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 32]",DRGN23.BIN/125/textures/0
Miranda,DRGN23.BIN/125,33," [34, 35, 36, 39, 40, 41, 42, 43, 44]",DRGN23.BIN/125/textures/1
Albert,DRGN23.BIN/125,66," [67, 68, 69, 72, 73, 74]",DRGN23.BIN/125/textures/2
Rose,DRGN23.BIN/125,99," [100, 101, 102, 105, 106, 107]",DRGN23.BIN/125/textures/3
Kongol,DRGN23.BIN/125,132," [133, 134, 135, 137, 138, 139, 140, 141]",DRGN23.BIN/125/textures/4
Haschel,DRGN23.BIN/125,165," [166, 167, 168, 171, 172, 173, 174, 175]",DRGN23.BIN/125/textures/5
Meru,DRGN23.BIN/125,198," [199, 200, 201, 204, 205, 206, 207, 208]",DRGN23.BIN/125/textures/6
Shana,DRGN23.BIN/125,231," [232, 233, 234, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246]",DRGN23.BIN/125/textures/7
CastleMaiden,DRGN23.BIN/125,264," [265, 266, 270, 271, 272]",DRGN23.BIN/125/textures/8
CastleMaiden2,DRGN23.BIN/125,297," [298, 299, 303, 304, 305]",DRGN23.BIN/125/textures/9
