Dart,DRGN23.BIN/83,0," [1, 2, 3, 6, 7, 8, 9, 10, 32]",DRGN23.BIN/83/textures/0
Shana,DRGN23.BIN/83,33," [34, 35, 39, 40, 41]",DRGN23.BIN/83/textures/1
Albert,DRGN23.BIN/83,66," [67, 68, 69, 72, 73, 74]",DRGN23.BIN/83/textures/2
Haschel,DRGN23.BIN/83,99," [100, 101, 102, 105, 106, 107]",DRGN23.BIN/83/textures/3
Kongol,DRGN23.BIN/83,132," [133, 134, 135, 138, 139, 140]",DRGN23.BIN/83/textures/4
Bishop,DRGN23.BIN/83,165," [166, 167, 171, 172, 173]",DRGN23.BIN/83/textures/5
LibrarianUte,DRGN23.BIN/83,198," [199, 200, 204, 205, 206]",DRGN23.BIN/83/textures/6
MaleVillager,DRGN23.BIN/83,231," [232, 233, 237, 238, 239]",DRGN23.BIN/83/textures/7
FemaleVillager,DRGN23.BIN/83,264," [265, 266, 270, 271, 272]",DRGN23.BIN/83/textures/8
OldMaleVillager,DRGN23.BIN/83,297," [298, 299, 303, 304, 305]",DRGN23.BIN/83/textures/9
OldFemaleVillager,DRGN23.BIN/83,330," [331, 332, 336, 337, 338]",DRGN23.BIN/83/textures/10
ChildMaleVillager,DRGN23.BIN/83,363," [364, 365, 369, 370, 371]",DRGN23.BIN/83/textures/11
