Dart,DRGN23.BIN/113,0," [1, 2, 3, 6, 7, 8, 32]",DRGN23.BIN/113/textures/0
Shana,DRGN23.BIN/113,33," [34, 35, 36, 39, 40, 41]",DRGN23.BIN/113/textures/1
Albert,DRGN23.BIN/113,66," [67, 68, 69, 72, 73, 74, 75]",DRGN23.BIN/113/textures/2
Rose,DRGN23.BIN/113,99," [100, 101, 102, 105, 106, 107]",DRGN23.BIN/113/textures/3
Kongol,DRGN23.BIN/113,132," [133, 134, 135, 138, 139, 140]",DRGN23.BIN/113/textures/4
Haschel,DRGN23.BIN/113,165," [166, 167, 168, 171, 172, 173]",DRGN23.BIN/113/textures/5
Meru,DRGN23.BIN/113,198," [199, 200, 201, 204, 205, 206]",DRGN23.BIN/113/textures/6
PrincessLuanna,DRGN23.BIN/113,231," [232, 233, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254]",DRGN23.BIN/113/textures/7
PrincessSetie,DRGN23.BIN/113,264," [265, 266, 267, 270, 271, 272]",DRGN23.BIN/113/textures/8
OldMaleVillager,DRGN23.BIN/113,297," [298, 299, 303, 304, 305]",DRGN23.BIN/113/textures/9
OldFemaleVillager,DRGN23.BIN/113,330," [331, 332, 336, 337, 338]",DRGN23.BIN/113/textures/10
