Dart,DRGN23.BIN/140,0," [1, 2, 3, 5, 6, 7, 8, 9, 11, 12, 14, 19, 20, 25, 32]",DRGN23.BIN/140/textures/0
Miranda,DRGN23.BIN/140,33," [34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 54]",DRGN23.BIN/140/textures/1
Albert,DRGN23.BIN/140,66," [67, 68, 69, 72, 73, 74]",DRGN23.BIN/140/textures/2
Meru,DRGN23.BIN/140,99," [100, 101, 102, 105, 106, 107]",DRGN23.BIN/140/textures/3
Shana,DRGN23.BIN/140,132," [133, 134, 136, 138, 139, 140, 145, 146, 147, 149, 151, 152, 153]",DRGN23.BIN/140/textures/4
QueenTheresa,DRGN23.BIN/140,165," [166, 167, 171, 172, 173, 174, 175, 176]",DRGN23.BIN/140/textures/5
PrincessLuanna,DRGN23.BIN/140,198," [199, 200, 204, 205, 206]",DRGN23.BIN/140/textures/6
PrincessSetie,DRGN23.BIN/140,231," [232, 233, 234, 237, 238, 239]",DRGN23.BIN/140/textures/7
PrincessWink,DRGN23.BIN/140,264," [265, 266, 270, 274, 275, 279, 280, 281, 282, 283, 284, 285]",DRGN23.BIN/140/textures/8
Rose,DRGN23.BIN/140,297," [298, 299, 300, 303, 304, 305]",DRGN23.BIN/140/textures/9
MilleSeseauKnight,DRGN23.BIN/140,363," [364, 365, 372, 373]",DRGN23.BIN/140/textures/10
