Dart,DRGN23.BIN/71,0," [1, 2, 3, 6, 7, 8, 32]",DRGN23.BIN/71/textures/0
Miranda,DRGN23.BIN/71,33," [34, 35, 36, 39, 40, 41]",DRGN23.BIN/71/textures/1
Albert,DRGN23.BIN/71,66," [67, 68, 69, 72, 73]",DRGN23.BIN/71/textures/2
CardboardOldMaleVillager,DRGN23.BIN/71,99," [100]",DRGN23.BIN/71/textures/3
CardboardOldFemaleVillager,DRGN23.BIN/71,132," [133]",DRGN23.BIN/71/textures/4
Martel,DRGN23.BIN/71,165," [166, 167, 168, 171, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195]",DRGN23.BIN/71/textures/5
OldMaleVillager,DRGN23.BIN/71,198," [199, 200, 201, 207, 208, 209, 210]",DRGN23.BIN/71/textures/6
CardboardFemaleVillager,DRGN23.BIN/71,231," [232]",DRGN23.BIN/71/textures/7
MaleVillager,DRGN23.BIN/71,264," [265, 266, 270, 271, 272]",DRGN23.BIN/71/textures/8
FemaleVillager,DRGN23.BIN/71,297," [298, 299, 303, 304, 305]",DRGN23.BIN/71/textures/9
OldMaleVillager2,DRGN23.BIN/71,330," [331, 332, 336, 337, 338]",DRGN23.BIN/71/textures/10
CardboardChildFemaleVillager,DRGN23.BIN/71,363," [364]",DRGN23.BIN/71/textures/11
