Dart,DRGN23.BIN/74,0," [1, 2, 3, 6, 7, 8, 9, 32]",DRGN23.BIN/74/textures/0
Miranda,DRGN23.BIN/74,33," [34, 35, 39, 40, 41]",DRGN23.BIN/74/textures/1
Albert,DRGN23.BIN/74,66," [67, 68, 72, 73, 74]",DRGN23.BIN/74/textures/2
Rose,DRGN23.BIN/74,99," [100, 101, 105, 106, 107]",DRGN23.BIN/74/textures/3
Haschel,DRGN23.BIN/74,132," [133, 134, 138, 139, 140]",DRGN23.BIN/74/textures/4
Kongol,DRGN23.BIN/74,165," [166, 167, 168, 171, 172, 173]",DRGN23.BIN/74/textures/5
Meru,DRGN23.BIN/74,198," [199, 200, 204, 205, 206]",DRGN23.BIN/74/textures/6
MilleSeseauKnight,DRGN23.BIN/74,231," [232, 233, 236, 237, 238, 239, 240, 241, 242, 243]",DRGN23.BIN/74/textures/7
MaleVillager,DRGN23.BIN/74,264," [265, 266, 270, 271, 272]",DRGN23.BIN/74/textures/8
OldMaleVillager,DRGN23.BIN/74,297," [298, 299, 303, 304, 305]",DRGN23.BIN/74/textures/9
Bishop,DRGN23.BIN/74,330," [331, 332, 336, 337, 338]",DRGN23.BIN/74/textures/10
LibrarianUte,DRGN23.BIN/74,363," [364, 365, 369, 370, 371]",DRGN23.BIN/74/textures/11
