Dart,DRGN23.BIN/44,0," [1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 32]",DRGN23.BIN/44/textures/0
Serfius,DRGN23.BIN/44,33," [34, 35, 39, 42]",DRGN23.BIN/44/textures/1
Teo,DRGN23.BIN/44,66," [67, 68, 69, 72, 73, 74, 75, 76, 77, 78]",DRGN23.BIN/44/textures/2
Gorgaga,DRGN23.BIN/44,99," [100, 101, 105]",DRGN23.BIN/44/textures/3
Kamuy,DRGN23.BIN/44,132," [133, 134, 135, 138, 141, 142]",DRGN23.BIN/44/textures/4
Warrior1,DRGN23.BIN/44,165," [166, 167, 168, 171]",DRGN23.BIN/44/textures/5
Warrior2,DRGN23.BIN/44,198," [199, 200, 201, 204]",DRGN23.BIN/44/textures/6
MilleSeseauKnight,DRGN23.BIN/44,231," [232, 233, 237, 240]",DRGN23.BIN/44/textures/7
Atlow,DRGN23.BIN/44,264," [265, 266]",DRGN23.BIN/44/textures/8
Greham,DRGN23.BIN/44,297," [298, 299]",DRGN23.BIN/44/textures/9
TreasureChest,DRGN23.BIN/44,330," [331, 332, 333]",DRGN23.BIN/44/textures/10
Shana,DRGN23.BIN/44,363," [364, 365, 369]",DRGN23.BIN/44/textures/11
Albert,DRGN23.BIN/44,396," [397, 398, 402]",DRGN23.BIN/44/textures/12
ResonatingGround,DRGN23.BIN/44,429," [430]",DRGN23.BIN/44/textures/13
