Dart,DRGN23.BIN/53,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 32]",DRGN23.BIN/53/textures/0
Kamuy,DRGN23.BIN/53,33," [34, 35, 36, 42, 43, 44, 45]",DRGN23.BIN/53/textures/1
Teo,DRGN23.BIN/53,66," [67, 68, 72, 73, 74]",DRGN23.BIN/53/textures/2
Gorgaga,DRGN23.BIN/53,99," [100, 101, 105, 108]",DRGN23.BIN/53/textures/3
MilleSeseauKnight,DRGN23.BIN/53,132," [133, 134, 138, 140, 141, 142, 143]",DRGN23.BIN/53/textures/4
Shana,DRGN23.BIN/53,165," [166, 167, 169, 171, 172, 173, 174, 175, 176]",DRGN23.BIN/53/textures/5
Albert,DRGN23.BIN/53,198," [199, 200, 204, 205]",DRGN23.BIN/53/textures/6
ResonatingGround,DRGN23.BIN/53,264," [265]",DRGN23.BIN/53/textures/7
Armed Dart,DRGN23.BIN/53,330," [333, 339]",DRGN23.BIN/53/textures/8
Miranda,DRGN23.BIN/53,363," [364, 365, 369, 370, 371, 372, 373]",DRGN23.BIN/53/textures/9
Armed Shana,DRGN23.BIN/53,396," [397]",DRGN23.BIN/53/textures/10
