Dart,DRGN23.BIN/206,0," [1, 2, 3, 32]",DRGN23.BIN/206/textures/0
TeleporterGlow,DRGN23.BIN/206,33," [34]",DRGN23.BIN/206/textures/1
TeleporterOrb,DRGN23.BIN/206,66," [67, 68]",DRGN23.BIN/206/textures/2
StrangeGlow,DRGN23.BIN/206,99," [100]",DRGN23.BIN/206/textures/3
Miranda,DRGN23.BIN/206,132," [133, 134, 135]",DRGN23.BIN/206/textures/4
Meru,DRGN23.BIN/206,165," [166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176]",DRGN23.BIN/206/textures/5
Albert,DRGN23.BIN/206,198," [199, 200, 201, 202, 203, 204, 205]",DRGN23.BIN/206/textures/6
Haschel,DRGN23.BIN/206,231," [232, 233, 234, 235, 236, 237]",DRGN23.BIN/206/textures/7
Kongol,DRGN23.BIN/206,264," [265, 266, 267, 268, 269]",DRGN23.BIN/206/textures/8
Dart 2,DRGN23.BIN/206,297," [301, 302, 303, 304, 305, 306, 307, 308, 309]",DRGN23.BIN/206/textures/9
