Dart,DRGN23.BIN/221,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 32]",DRGN23.BIN/221/textures/0
Miranda,DRGN23.BIN/221,33," [34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",DRGN23.BIN/221/textures/1
Meru,DRGN23.BIN/221,66," [67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]",DRGN23.BIN/221/textures/2
Albert,DRGN23.BIN/221,99," [100, 101, 102, 103, 104, 105, 106, 107]",DRGN23.BIN/221/textures/3
MeruFlying,DRGN23.BIN/221,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144]",DRGN23.BIN/221/textures/4
JewelBrigth,DRGN23.BIN/221,165," [166]",DRGN23.BIN/221/textures/5
Rose,DRGN23.BIN/221,198," [199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209]",DRGN23.BIN/221/textures/6
TeleporterOrb,DRGN23.BIN/221,231," [232, 233]",DRGN23.BIN/221/textures/7
TeleporterGlow,DRGN23.BIN/221,264," [265]",DRGN23.BIN/221/textures/8
Armed Albert,DRGN23.BIN/221,297," [298, 299, 300]",DRGN23.BIN/221/textures/9
Haschel,DRGN23.BIN/221,330," [331, 332, 333, 334, 335]",DRGN23.BIN/221/textures/10
GrandJewel,DRGN23.BIN/221,363," [364]",DRGN23.BIN/221/textures/11
Dragon Block Staff,DRGN23.BIN/221,396," [397]",DRGN23.BIN/221/textures/12
