Dart,DRGN23.BIN/212,0," [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 32]",DRGN23.BIN/212/textures/0
Miranda,DRGN23.BIN/212,33," [34, 35, 36, 37, 38, 39, 40]",DRGN23.BIN/212/textures/1
Meru,DRGN23.BIN/212,66," [67, 68, 69, 70, 71, 72, 73]",DRGN23.BIN/212/textures/2
Albert,DRGN23.BIN/212,99," [100, 101, 102, 103, 104, 105, 106, 107]",DRGN23.BIN/212/textures/3
Haschel,DRGN23.BIN/212,132," [133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145]",DRGN23.BIN/212/textures/4
Kongol,DRGN23.BIN/212,165," [166, 167, 168, 169, 170, 171]",DRGN23.BIN/212/textures/5
Rose,DRGN23.BIN/212,198," [199, 200, 201, 202, 203]",DRGN23.BIN/212/textures/6
TeleporterOrb,DRGN23.BIN/212,231," [232, 233]",DRGN23.BIN/212/textures/7
Foam,DRGN23.BIN/212,264," [265]",DRGN23.BIN/212/textures/8
Foam2,DRGN23.BIN/212,297," [298]",DRGN23.BIN/212/textures/9
TeleporterGlow,DRGN23.BIN/212,330," [331]",DRGN23.BIN/212/textures/10
StrangeGlow,DRGN23.BIN/212,363," [364]",DRGN23.BIN/212/textures/11
